date,temperature_max,temperature_min,precipitation,year,city
2024-03-10,11.9,4.4,2.6,2024,MAD
2024-03-11,13.1,5.4,0.0,2024,MAD
2024-03-12,15.1,1.9,0.0,2024,MAD
2024-03-13,17.8,3.9,0.0,2024,MAD
2024-03-14,16.4,5.3,0.0,2024,MAD
2024-03-15,18.0,4.5,0.3,2024,MAD
2024-03-16,18.6,6.9,0.0,2024,MAD
2024-03-17,21.1,7.6,0.0,2024,MAD
2023-03-10,20.1,7.8,0.0,2023,MAD
2023-03-11,21.2,8.6,0.0,2023,MAD
2023-03-12,22.3,8.4,0.0,2023,MAD
2023-03-13,21.0,8.4,0.0,2023,MAD
2023-03-14,18.1,5.9,0.0,2023,MAD
2023-03-15,20.1,3.6,0.0,2023,MAD
2023-03-16,24.3,5.0,0.0,2023,MAD
2023-03-17,17.4,10.5,0.4,2023,MAD
2022-03-10,14.3,3.7,3.6,2022,MAD
2022-03-11,13.7,7.1,9.6,2022,MAD
2022-03-12,13.1,3.2,1.0,2022,MAD
2022-03-13,13.5,4.8,9.5,2022,MAD
2022-03-14,12.4,5.2,13.4,2022,MAD
2022-03-15,18.9,7.9,0.7,2022,MAD
2022-03-16,16.2,9.4,0.6,2022,MAD
2022-03-17,13.5,7.7,1.7,2022,MAD
2021-03-10,15.5,-0.1,0.0,2021,MAD
2021-03-11,18.4,4.7,0.0,2021,MAD
2021-03-12,14.7,6.6,0.0,2021,MAD
2021-03-13,15.8,0.7,0.0,2021,MAD
2021-03-14,15.7,2.9,0.0,2021,MAD
2021-03-15,18.2,2.6,0.0,2021,MAD
2021-03-16,19.0,5.6,0.0,2021,MAD
2021-03-17,19.5,7.0,0.0,2021,MAD
2020-03-10,23.0,5.5,0.0,2020,MAD
2020-03-11,25.7,7.0,0.0,2020,MAD
2020-03-12,26.0,9.3,0.0,2020,MAD
2020-03-13,23.2,9.4,0.0,2020,MAD
2020-03-14,21.8,8.9,0.0,2020,MAD
2020-03-15,20.1,8.5,1.9,2020,MAD
2020-03-16,10.5,3.3,8.8,2020,MAD
2020-03-17,17.3,3.7,2.4,2020,MAD
